slug_it,slug_en,slug_de,slug_fr,category,jobs_count,median_salary_chf,top_employers,top_cities
lavoro-ticino-infermiere,jobs-ticino-nurse,arbeit-tessin-krankenpfleger,travail-tessin-infirmier,healthcare,89,62250,EOC – Ente Ospedaliero Cantonale|Kantonsspital Graubünden|Flury Stiftung|Hôpital du Valais|Psychiatrische Dienste Graubünden,Bellinzona|Chur|Schiers|Sion|Jenaz
lavoro-ticino-operaio,jobs-ticino-worker,arbeit-tessin-arbeiter,travail-tessin-ouvrier,industry,14,65250,Amministrazione Cantonale Ticino|PEMSA|Grand Hotel Kronenhof|Kantonale Verwaltung Graubünden|Bell Schweiz AG,Bellinzona|Landquart|Pontresina|Ilanz|Oensingen
lavoro-ticino-impiegato,jobs-ticino-clerk,arbeit-tessin-sachbearbeiter,travail-tessin-employe,office,185,65250,Coop|VOLG|Interdiscount|Läderach (Schweiz) AG|EOC – Ente Ospedaliero Cantonale,Gossau|Jegensdorf|Bellinzona|Visp|Lenzburg 1
lavoro-ticino-ingegnere,jobs-ticino-engineer,arbeit-tessin-ingenieur,travail-tessin-ingenieur,engineering,95,73000,Hamilton Bonaduz AG|ABB Svizzera (sede Ticino)|Tether Operations|Lombardi Group|AGIE Charmilles SA,Lugano|Quartino|Giubiasco|Biel/Bienne|Chur
lavoro-ticino-educatore,jobs-ticino-educator,arbeit-tessin-erzieher,travail-tessin-educateur,social,2,89786,Fondazione La Fonte|LIS – Lugano Istituti Sociali,Lugano
lavoro-ticino-autista,jobs-ticino-driver,arbeit-tessin-fahrer,travail-tessin-chauffeur,transport,19,62250,TSMG|Heineken Switzerland|Grand Hotel Kronenhof|Kulm Hotel St. Moritz|Süddeutsche Truthahn AG,Chur|Pontresina|Bellinzona|Ampfing|Pfaffstätt
lavoro-ticino-muratore,jobs-ticino-mason,arbeit-tessin-maurer,travail-tessin-macon,construction,0,0,,
lavoro-ticino-cuoco,jobs-ticino-cook,arbeit-tessin-koch,travail-tessin-cuisinier,hospitality,28,65250,Coop Genossenschaft|Kulm Hotel St. Moritz|Grand Hotel Kronenhof|EOC – Ente Ospedaliero Cantonale|Weisse Arena Gruppe,Pontresina|St. Moritz|Chur|Landquart|Bellinzona
lavoro-ticino-cameriere,jobs-ticino-waiter,arbeit-tessin-kellner,travail-tessin-serveur,hospitality,7,62250,Kulm Hotel St. Moritz|Marriott International|Grand Hotel Kronenhof|Grand Hotel des Bains Kempinski St. Moritz|Tschuggen Collection,Pontresina|St. Moritz|Verbier|Ascona
lavoro-ticino-elettricista,jobs-ticino-electrician,arbeit-tessin-elektriker,travail-tessin-electricien,trades,38,68000,Grichting & Valterio Electro SA|TZ Stromag|Caviezel AG|Elektro Christoffel; ZNL der Caviezel AG|Siegfried,Davos Platz|Brig-Glis|Bellinzona|Visp|Küblis
lavoro-ticino-psicologo,jobs-ticino-psychologist,arbeit-tessin-psychologe,travail-tessin-psychologue,healthcare,155,78000,Organizzazione Sociopsichiatrica Cantonale (OSC)|WePractice|Luzerner Psychiatrie (LUPS)|Clienia AG|Spital Thurgau (STGAG),Lugano|Mendrisio|Zürich
lavoro-ticino-fisioterapista,jobs-ticino-physiotherapist,arbeit-tessin-physiotherapeut,travail-tessin-physiotherapeute,healthcare,77,78000,EOC – Ente Ospedaliero Cantonale|Hirslanden Klinik|ZURZACH Care|Kliniken Valens|Luzerner Kantonsspital (LUKS),Lugano|Bellinzona|Luzern
